"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Brian Lewerke","NYG","17.0","10.0","107.0","1.0","0.0","1.0","4.0","0.0","0.0","8.7"
"John Wolford","LAR","22.0","13.7","150.9","0.6","0.4","1.8","9.1","0.0","0.1","8.3"
"Garrett Gilbert","DAL","20.2","12.6","143.0","0.6","0.4","1.5","6.2","0.0","0.1","7.9"
"Geno Smith","SEA","17.4","11.0","121.9","0.9","0.3","1.3","2.5","0.0","0.2","7.7"
"Brandon Allen","CIN","20.9","13.2","143.5","0.6","0.5","1.3","5.1","0.0","0.1","7.6"
"Jordan Love","GB","15.5","9.6","107.7","0.9","0.3","0.7","3.1","0.0","0.1","7.4"
"Chase Daniel","LAC","18.3","11.6","131.0","0.6","0.5","1.5","5.8","0.0","0.1","7.2"
"Ian Book","NO","17.0","12.0","118.0","1.0","1.0","1.0","4.0","0.0","0.0","7.1"
"Chris Streveler","ARI","15.9","9.4","105.5","0.6","0.5","1.6","6.7","0.1","0.2","6.5"
"Tyler Huntley","BAL","9.5","6.0","67.5","0.5","0.0","3.0","16.0","0.0","0.0","6.3"
"Blaine Gabbert","TB","16.0","9.7","110.0","0.3","0.0","1.3","5.3","0.0","0.0","6.3"
"AJ McCarron","ATL","15.6","9.9","111.1","0.6","0.4","0.5","2.2","0.0","0.2","6.2"
"Matt Barkley","TEN","13.3","8.4","98.3","0.7","0.3","0.4","1.4","0.0","0.2","6.0"
"Mike Glennon","NYG","18.6","11.7","124.7","0.6","0.4","1.2","5.6","0.0","0.6","5.7"
"David Blough","DET","15.5","9.4","105.4","0.5","0.4","0.6","2.5","0.0","0.2","5.6"
"Colt McCoy","ARI","12.0","8.0","84.5","0.5","0.5","1.5","8.0","0.0","0.0","5.2"
"Dwayne Haskins","PIT","14.0","8.5","84.5","0.5","0.5","1.5","5.0","0.0","0.0","4.9"
"Logan Woodside","TEN","6.0","4.0","45.0","0.5","0.0","2.5","7.0","0.0","0.0","4.5"
"Case Keenum","CLE","13.0","8.1","92.2","0.6","0.4","0.9","3.6","0.0","0.6","4.4"
"Jarrett Stidham","NE","7.0","4.5","47.5","0.5","0.5","1.5","3.0","0.0","0.0","3.2"
"Nick Mullens","PHI","12.0","6.5","70.0","0.5","0.5","2.0","4.0","0.0","1.0","2.2"
"C.J. Beathard","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devlin Hodges","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ryan Griffin","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cooper Rush","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Luton","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Hundley","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Lauletta","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ben DiNucci","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Sean Mannion","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Allen","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trevor Siemian","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate Sudfeld","SF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Will Grier","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Josh Johnson","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Peterman","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joshua Dobbs","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Foles","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
